,movie_name,comment,sentiment
0,Baahubali,An epic masterpiece with stunning visuals.,positive
1,RRR,Incredible performances and visuals.,positive
2,KGF,Amazing story and cinematography.,positive
3,Kalki,Thrilling and engaging plot.,positive
4,Pushpa,Allu Arjun delivered an amazing performance.,positive
5,Eega,An innovative and entertaining film.,positive
6,Arjun Reddy,An intense and bold movie.,positive
7,Geetha Govindam,Very sweet and romantic.,positive
8,Mahanati,A beautiful tribute to Savitri.,positive
9,Fidaa,A charming love story.,positive
10,Jersey,Heartwarming and emotional story.,positive
11,Majili,Naga Chaitanya and Samantha were fantastic.,positive
12,Ala Vaikunthapurramuloo,Allu Arjun at his best.,positive
13,Sarileru Neekevvaru,An entertaining Mahesh Babu film.,positive
14,Bharat Ane Nenu,A powerful political drama.,positive
15,Rangasthalam,Stunning visuals and a gripping plot.,positive
16,Sye,Classic sports drama with good music.,positive
17,Nannaku Prematho,Intelligent and engaging film.,positive
18,Temper,Power-packed performance by NTR.,positive
19,Dhruva,A gripping thriller with a strong plot.,positive
20,Gangleader,Entertaining from start to finish.,positive
21,Oopiri,Heartwarming and beautifully crafted.,positive
22,24,A sci-fi thriller with brilliant execution.,positive
23,Baahubali 2,An epic conclusion to the saga.,positive
24,MCA,An engaging and entertaining film.,positive
25,F2,Fun and Frustration well depicted.,positive
26,Agent Sai Srinivasa Athreya,An intelligent and humorous thriller.,positive
27,Taxiwaala,A unique and thrilling storyline.,positive
28,Evvarikee Cheppoddu,A sweet romantic drama.,positive
29,Sye Raa Narasimha Reddy,An epic historical film.,positive
30,Goodachari,A brilliant spy thriller.,positive
31,Bichagadu,An emotional and impactful movie.,positive
32,Uppena,A heart-touching love story.,positive
33,Chalo,A fun-filled entertainer.,positive
34,Ninnu Kori,A touching and emotional film.,positive
35,Sammohanam,A beautiful and refreshing love story.,positive
36,Oh Baby,A heartwarming and delightful film.,positive
37,Kshanam,A gripping and intense thriller.,positive
38,Hello,A beautiful love story.,positive
39,Manam,An emotional and well-crafted film.,positive
40,Mallesham,An inspiring biopic.,positive
41,Middle Class Melodies,A charming and relatable film.,positive
42,Majnu,A heartwarming romantic comedy.,positive
43,Solo Brathuke So Better,A fun and entertaining film.,positive
44,Tholi Prema,A beautiful love story with great music.,positive
45,Jathi Ratnalu,Hilarious and entertaining.,positive
46,Awe,A unique and mind-blowing film.,positive
47,Brochevarevarura,An intelligent and humorous film.,positive
48,Venky Mama,A fun-filled family entertainer.,positive
49,Prati Roju Pandage,A touching family drama.,positive
50,Vikramarkudu,Action-packed and entertaining.,positive
51,Vedam,An inspiring and emotional drama.,positive
52,Kshanam,An edge-of-the-seat thriller.,positive
53,Happy Days,A nostalgic and fun film.,positive
54,Anand,A heartwarming love story.,positive
55,Bhale Bhale Magadivoy,A hilarious and entertaining film.,positive
56,Nani's Gang Leader,A fun and entertaining film.,positive
57,Julayi,An engaging and entertaining film.,positive
58,Evaru,A gripping and thrilling film.,positive
59,Swamy Ra Ra,A smart and entertaining film.,positive
60,1 - Nenokkadine,A complex and thrilling film.,positive
61,Kanche,A beautiful and poignant war drama.,positive
62,Krishna Gaadi Veera Prema Gaadha,A fun and engaging film.,positive
63,Mr. Majnu,A fun and entertaining film.,positive
64,Kirik Party,A fun and nostalgic college film.,positive
65,Dear Comrade,A powerful and emotional love story.,positive
66,RX 100,An intense and bold love story.,positive
67,Aravinda Sametha,A powerful and emotional film.,positive
68,Balupu,An entertaining mass film.,positive
69,Chitralahari,A heartwarming and motivational film.,positive
70,Gang Leader,A fun and entertaining film.,positive
71,Gatham,A gripping psychological thriller.,positive
72,Thadam,A smart and engaging thriller.,positive
73,HIT,A thrilling and intense film.,positive
74,Majili,Naga Chaitanya and Samantha were fantastic.,positive
75,Mathu Vadalara,An intelligent and humorous thriller.,positive
76,Nenu Local,A fun and entertaining film.,positive
77,Oohalu Gusagusalade,A charming love story.,positive
78,Padi Padi Leche Manasu,A beautiful love story with great music.,positive
79,Palasa 1978,A powerful and impactful film.,positive
80,Raju Gari Gadhi,A fun and thrilling horror-comedy.,positive
81,Sankarabharanam,A classic and beautiful musical.,positive
82,Shiva,A groundbreaking and intense film.,positive
83,Spyder,An engaging and thrilling film.,positive
84,Supreme,A fun and entertaining film.,positive
85,Swathi Muthyam,A heartwarming and inspiring film.,positive
86,Ye Maaya Chesave,A beautiful and touching love story.,positive
87,Yevade Subramanyam,An inspiring and beautiful journey.,positive
88,Zombie Reddy,A fun and entertaining zombie film.,positive
89,Saaho,Disappointing plot and execution.,positive
90,V,Confusing storyline and weak characters.,positive
91,Liger,Poor script and direction.,positive
92,Radhe Shyam,Slow-paced and unengaging.,positive
93,Sakshyam,Unoriginal and predictable.,negative
94,Brahmotsavam,Lacks coherence and depth.,negative
95,Sahoo,Overhyped and underdelivered.,negative
96,Vinaya Vidheya Rama,"Excessive action, weak plot.",negative
97,Agnyaathavaasi,Disjointed narrative and dull moments.,negative
98,Naa Peru Surya,Excessive melodrama.,negative
